codice_isolato,agriturismo_strutture,locazione_turistica_strutture,albergo_strutture,aperto_strutture,complementare_strutture,extra_alberghiero_strutture,altro_strutture,agriturismo_letti,locazione_turistica_letti,albergo_letti,aperto_letti,complementare_letti,extra_alberghiero_letti,altro_letti,totale_strutture,totale_letti,data,codice_gruppo,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
270420088,0,4,1,0,0,0,0,0,13,24,0,0,0,0,5,37,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420089,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2,6,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420090,0,12,0,0,0,0,0,0,31,0,0,0,0,0,12,31,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420092,0,2,0,0,1,0,0,0,8,0,0,11,0,0,3,19,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420093,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2,6,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420094,0,3,0,0,2,0,0,0,8,0,0,6,0,0,5,14,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420095,0,7,0,0,0,0,0,0,23,0,0,0,0,0,7,23,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420096,0,0,0,0,1,0,0,0,0,0,0,15,0,0,1,15,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420098,0,2,0,0,0,0,0,0,14,0,0,0,0,0,2,14,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420100,0,15,0,0,0,0,0,0,41,0,0,0,0,0,15,41,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420101,0,12,2,0,3,0,0,0,50,59,0,29,0,0,17,138,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420102,0,4,1,0,0,0,0,0,16,89,0,0,0,0,5,105,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420103,0,5,3,0,2,0,0,0,19,174,0,5,0,0,10,198,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420104,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,4,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420105,0,3,0,0,2,0,0,0,5,0,0,18,0,0,5,23,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420106,0,7,0,0,1,0,0,0,16,0,0,2,0,0,8,18,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420107,0,9,0,0,0,0,0,0,32,0,0,0,0,0,9,32,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420108,0,3,1,0,0,0,0,0,16,21,0,0,0,0,4,37,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420109,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2,6,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420110,0,3,1,0,0,0,0,0,13,86,0,0,0,0,4,99,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420111,0,4,0,0,1,0,0,0,12,0,0,11,0,0,5,23,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420112,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420113,0,6,0,0,2,0,0,0,25,0,0,12,0,0,8,37,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420114,0,7,3,0,0,0,0,0,18,122,0,0,0,0,10,140,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420115,0,0,0,0,1,0,0,0,0,0,0,30,0,0,1,30,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420117,0,0,2,0,0,0,0,0,0,378,0,0,0,0,2,378,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420118,0,0,1,0,0,0,0,0,0,13,0,0,0,0,1,13,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420119,0,3,0,0,1,0,0,0,10,0,0,6,0,0,4,16,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420120,0,2,0,0,0,0,0,0,8,0,0,0,0,0,2,8,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420121,0,1,1,0,1,0,0,0,4,66,0,6,0,0,3,76,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420123,0,2,0,0,0,0,0,0,7,0,0,0,0,0,2,7,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420124,0,4,2,0,3,0,0,0,12,90,0,20,0,0,9,122,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420125,0,7,0,0,2,0,0,0,31,0,0,6,0,0,9,37,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420126,0,6,0,0,0,0,0,0,20,0,0,0,0,0,6,20,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420127,0,11,0,0,3,0,0,0,36,0,0,20,0,0,14,56,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420129,0,5,0,0,3,0,0,0,15,0,0,28,0,0,8,43,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420130,0,14,0,0,0,0,0,0,49,0,0,0,0,0,14,49,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420131,0,6,1,0,5,2,0,0,26,56,0,34,22,0,14,138,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420133,0,2,0,0,1,0,0,0,7,0,0,18,0,0,3,25,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420135,0,1,0,0,3,0,0,0,4,0,0,16,0,0,4,20,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420136,0,4,0,0,2,0,0,0,16,0,0,12,0,0,6,28,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420137,0,0,0,0,2,0,0,0,0,0,0,31,0,0,2,31,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420138,0,7,1,0,2,0,0,0,34,23,0,13,0,0,10,70,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420139,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,4,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420140,0,0,0,0,1,0,0,0,0,0,0,12,0,0,1,12,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420141,0,11,0,0,1,0,0,0,56,0,0,4,0,0,12,60,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420142,0,2,0,0,2,0,0,0,13,0,0,20,0,0,4,33,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420143,0,5,0,0,1,0,0,0,23,0,0,10,0,0,6,33,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420144,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2,6,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420145,0,1,0,0,1,0,0,0,4,0,0,3,0,0,2,7,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
