codice_gruppo,codice_isolato,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
3,270423037,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423038,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423039,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423040,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423041,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423042,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423043,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423044,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423045,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423046,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423047,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423048,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
3,270423049,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423050,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423051,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423052,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423053,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423054,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423055,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423056,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423057,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423058,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423059,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423060,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
3,270423061,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
